valid_id,rank,anime_name
20001,18193.0,Mouretsu Atarou
20003,19126.0,Roppou Yabure-kun
20005,18779.0,Pinch to Punch
20021,6080.0,Sword Art Online: Extra Edition
20023,18647.0,Otanoshimi Anime Gekijou
20045,4590.0,IS: Infinite Stratos 2 - Hitonatsu no Omoide
20053,8043.0,Wizard Barristers
20057,767.0,Space Dandy
20077,15563.0,Dotanba no Manners
20085,18593.0,Only You: Viva! Cabaret Club
20093,15842.0,Furiten-kun
20113,10066.0,Sore Ike! Anpanman: Tekka no Maki-chan to Kin no Kamameshidon
20123,17066.0,Kappamaki and the Sushi Kids
20141,5129.0,Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi
20143,17100.0,Kazu & Yasu Hero Tanjou
20153,12286.0,Day of Nose
20155,6521.0,Ro-Kyu-Bu! SS Recap
20159,1065.0,Pokémon: Origins
20185,7059.0,Pa-Pa-Pa the ★ Movie: Perman
20199,15899.0,Ganbare Gonbe
20205,13882.0,Yama ni Kagayaku: Guide-ken Heiji Gou
20225,9158.0,Umigame to Shounen
20233,12942.0,Tonari no Tamageta-kun
20241,17783.0,Manga Hana no Kakarichou
20261,11815.0,W-Tails Cat: A Strange Presence
20365,,Another: Misaki Mei - Shizukani
20377,,Dorei Usagi to Anthony The Animation
20379,,Junk Land The Animation
20381,7212.0,Jungle Taitei Movie
20383,14677.0,Baka Mukashibanashi Movie: Jijii Wars
20391,6371.0,Hidamari Sketch: Chou Hidamatsuri Special
20453,18011.0,Mikosuri Han-Gekijou
20457,3053.0,Inari Kon Kon
20499,17740.0,Maji
20507,651.0,Noragami
20541,2137.0,Engaged to the Unidentified
20555,8542.0,Soni-Ani: Super Sonico The Animation
20557,11145.0,11eyes Picture Drama
20581,11620.0,Nekketsu Tantei Jimusho
20583,152.0,Haikyu!!
20587,10884.0,Daddy Long-Legs
20603,17491.0,Kyoufu no Kyou-chan
20649,3860.0,Kimi no Iru Machi OVA
20651,221.0,Natsume’s Book of Friends: On a Certain Snowy Day
20667,10284.0,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.
20671,2648.0,The Portrait Studio
20689,2721.0,Hamatora The Animation
20703,16002.0,Goannai Shimasu Another World e
20705,11027.0,Baka Misérables
20707,,"""0"""
20709,2300.0,Sabagebu! -Survival Game Club!-
20713,11474.0,Pig Sale
20723,6298.0,Kyousou Giga (TV) Recaps
20725,,"Lies, Lies."
20743,5774.0,Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!
20745,4606.0,Love Live! School Idol Project OVA
20757,,Taimanin Yukikaze
20767,1085.0,Noragami OVA
20785,2053.0,The Irregular at Magic High School
20787,3525.0,Black Bullet
20799,18487.0,Norman the Snowman: The Northern Lights
20801,,Koakuma Kanojo The Animation
20811,12536.0,Maid of the Dead
20835,10127.0,Joshikousei Nobunaga-chan!!
20843,4567.0,Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear
20847,1165.0,Seitokai Yakuindomo*
20849,,Oni Chichi 2: Revenge
20853,2932.0,Chaika -The Coffin Princess-
20855,,Bacterial Contamination
20857,,Nebula feat. Hatsune Miku
20869,11395.0,Nulu-chan and Me
20871,6143.0,Nissan Serena x One Piece 3D: Mugiwara Chase - Sennyuu!! Sauzando Sanii-gou
20873,10510.0,Hana no Zundamaru
20889,4940.0,Kuro no Su: Chronus
20899,455.0,JoJo's Bizarre Adventure: Stardust Crusaders
20903,2845.0,Harmonie
20907,7162.0,The Big First-Grader and the Small Second-Grader
20909,4412.0,Kyoukai no Kanata: Mini Gekijou
20919,11014.0,Diabolik Lovers Recap
20929,,Galo Sengen
20931,7206.0,Oneechan ga Kita
20945,4719.0,Eon Kid
20951,11099.0,DPR Special Movie
20955,12506.0,Peeping Life: YouTuber-kun
20959,,Invasion of the Ballbusters
20961,9490.0,Paroru's Future Island
20963,19597.0,Shimajirou no Wow! Movie 2: Shimajirou to Kujira no Uta
20965,7144.0,Wonder Garden
20973,3782.0,World Conquest Zvezda Plot
20987,6406.0,Yoza-Quar!
20995,,Himekishi Olivia
20999,8135.0,Mini Van Special
21001,,My Big and Horny Sisters
21009,10175.0,Sekai de Ichiban Tsuyoku Naritai! Specials
21013,9778.0,Marvel Disk Wars: The Avengers
21019,18473.0,Noonbory & the Super 7
21021,16900.0,Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken
21025,10254.0,Chang
21027,6073.0,The Fake
21033,6751.0,Dragonar Academy
21053,16606.0,Ikemen Kyuugo-tai Nurse Angels
21059,,Oppai Infinity∞! The Animation
21065,6718.0,Yakusoku (ONA)
21067,8978.0,Strange+
21069,,MILF Assault Mode
21073,3139.0,PUCHIM@S 2
21077,8146.0,Kakumeiki Valvrave Recaps
21085,3971.0,Witch Craft Works
21097,,Oni Chichi: Rebuild
21105,3063.0,Love Stage!!
21121,8256.0,Heart Cocktail Again
21129,10739.0,A Jewish Girl in Shanghai
21161,13238.0,Wansa-kun OVA
21163,8910.0,"Goblin and ""Yuki Usagi"" (Snow Hare)"
21167,6729.0,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi
21177,5585.0,Nobunaga the Fool
21179,12518.0,Dragon Fist
21185,908.0,Baby Steps
21195,4686.0,Soul Eater: Late Night Show
21201,6539.0,Teekyu 2 Specials
21215,11847.0,Zettai Shougeki: Platonic Heart Picture Drama
21235,5052.0,Now It's Time to Go! Log Horizon
21241,6063.0,Beyond the Boundary: Idol Trial!
21255,8105.0,Takarajima (Movie)
21267,10322.0,Go! Go! 575
21275,13912.0,Yawaraka Sensha
21291,19903.0,Sore Ike! Anpanman: Minami no Umi wo Sukue!
21293,7418.0,"Anpanman: Purun, the Soap Bubble"
21295,19918.0,Sore Ike! Anpanman: Tenohira wo Taiyou ni
21305,11523.0,Trick or Alice
21325,4874.0,Pupipo!
21327,1612.0,One Week Friends
21329,105.0,Mushi-shi: The Shadow that Devours the Sun
21339,1137.0,Psycho-Pass: The Movie
21349,,Kichiku: Haha Shimai Choukyou Nikki
21353,6133.0,Tokyo ESP
21363,,Tokubetsu Jugyou 3 SLG The Animation
21373,6583.0,Freezing Vibration Specials
21393,,Shiiba-san no Ura no Kao. with Imouto Lip
21395,2264.0,Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back
21405,1207.0,The Kawai Complex Guide to Manors and Hostel Behavior
21407,4637.0,Happiness Charge Precure!
21409,,The iDOLM@STER Cinderella Girls 2nd Anniversary PV
21419,495.0,Detective Conan Movie 18: The Sniper from Another Dimension
21421,9874.0,Magica Wars
21427,9181.0,Minna Atsumare! Falcom Gakuen
21431,4565.0,Brynhildr in the Darkness
21433,15181.0,Chou Zenmairobo: Patrasche
21435,1507.0,Encouragement of Climb Season 2
21437,3456.0,Buddy Complex
21451,,Japan Bridge Overpass Under R Plan
21467,16614.0,Ikkyuu-san to Yancha Hime
21469,477.0,Stand By Me Doraemon
21471,10631.0,Mirai Koushi Harima SACLA
21473,1348.0,Persona 3 the Movie: #2 Midsummer Knight's Dream
21479,8838.0,Beyblade: Shogun Steel Specials
21483,19267.0,Sanchoume no Yuuhi
21485,15509.0,Dokkan! Robotendon
21487,7700.0,Shin Dokonjou Gaeru
21489,10310.0,Shin Dokonjou Gaeru: Dokonjou Yumemakura
21491,18423.0,Ninjaman Ippei
21493,8595.0,Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki
21497,6076.0,Samurai Warriors: Legend of the Sanada
21507,9374.0,Soul Eater NOT!
21513,,Imako System
21521,,Futa-bu!
21523,9622.0,Baku Tech! Bakugan Gachi
21525,15939.0,Geba Geba Show Time!
21539,18613.0,Oraa Guzura Dado
21541,5379.0,Hentai Ouji to Warawanai Neko.: Henneko BBS
21547,19612.0,Shin Choubakumatsu Shounen Seiki Takamaru
21561,3384.0,Nanana's Buried Treasure
21563,3956.0,Kamigami no Asobi
21569,6493.0,Pokémon the Movie: Diancie and the Cocoon of Destruction
21571,7434.0,"Pikachu, What's This Key?"
21575,7703.0,Koukaku Kidoutai Arise: Ghost in the Shell - Logicoma Specials
21587,8728.0,Mou Hitotsu no Mirai wo.
21591,10280.0,Wasure-boshi
21595,7831.0,Yu☆Gi☆Oh! Zexal Second: Iza! Saishuu Kessen e!! Special
21597,,Yabai! Fukushuu Yami Site
21599,7233.0,Fight Ippatsu! Juuden-chan!! OVA
21635,2870.0,GJ-bu@
21639,5320.0,Yu-Gi-Oh! Arc-V
21641,10690.0,Planet:Valkyrie
21647,691.0,Tamako Love Story
21649,8851.0,Mitsuwano
21659,1185.0,Kill la Kill Specials
21663,9230.0,Last Orders
21667,1264.0,Non Non Biyori: We're Going to Okinawa
21671,4529.0,Keroro
21677,6870.0,Captain Earth
21679,6940.0,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA"
21681,2436.0,Hanayamata
21695,6664.0,Pokemon XY SP: Road to Kalos
21701,5765.0,Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken
21717,,Koisuru Niwatori
21729,5209.0,Cardfight!! Vanguard Legion Mate
21737,1968.0,"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, nanode"
21743,1745.0,Laughing Under the Clouds
21749,11051.0,Kimama ni Idol
21751,,Okusama wa Moto Yariman
21755,1412.0,The Prince of Tennis II vs Genius10
21761,14519.0,Ari to Hato
21763,14516.0,Ari to Hato (1953)
21765,11278.0,Ari to Hato (1959)
21771,10054.0,Romantica Clock
21781,4798.0,Tsubasa to Hotaru
