valid_id,rank,anime_name
10003,12119.0,Kago Shintarou Anime Sakuhin Shuu
10029,934.0,From Up on Poppy Hill
10039,10073.0,Chinpui Specials
10059,7997.0,Sore Ike! Anpanman: Tsumikijou no Himitsu
10067,1877.0,Angel Beats! Another Epilogue
10074,5312.0,Toriko 3D: Kaimaku Gourmet Adventure!!
10101,,Shoujo Senki Brain Jacker
10109,6371.0,Softenni! the Animation
10135,8446.0,Manga Hajimete Monogatari
10152,3126.0,Kimi ni Todoke: From Me to You - Unrequited Love
10153,435.0,Magical Girl Lyrical Nanoha: The Movie 2nd A's
10161,1515.0,No. 6
10162,200.0,Bunny Drop
10163,3148.0,[C] CONTROL - The Money and Soul of Possibility
10177,8531.0,DD Fist of the North Star
10178,2232.0,Otona Joshi no Anime Time
10187,6316.0,HenSemi (TV)
10189,3002.0,Hunter x Hunter Pilot
10199,9056.0,Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki
10207,7012.0,"Lily, Frogs, and Little Brother."
10224,8954.0,Uchuu Majin Daikengou
10241,10530.0,Sekai Monoshiri Ryoko
10249,4449.0,A Certain Magical Index II: Specials
10257,2057.0,Pretty Rhythm: Aurora Dream
10270,16101.0,Gun Samurai Recap
10271,289.0,Kaiji: Against All Rules
10276,4724.0,Tennis no Ouji-sama: Mini Theater
10282,8706.0,Manga Nippon Mukashibanashi
10297,5633.0,Shin Koihime†Musou: Otome Tairan - Gakuensai da yo! Zenin Shuugou no Koto
10313,11198.0,Dallos Special
10321,3826.0,Uta no Prince Sama
10351,4989.0,Tenchi Muyou! Ryououki 2nd Season Picture Drama
10359,4910.0,Jewelpet Sunshine
10368,,Secret of Teleclub
10369,19686.0,Shougeki Shinsengumi
10375,10507.0,Denshinbashira no Okaasan
10391,10434.0,"Princess Jellyfish: Go, Sisterhood Explorers!"
10407,11400.0,Shimanchu MiRiKa
10417,11204.0,GYO: Tokyo Fish Attack!
10418,4321.0,Deadman Wonderland: The Red Knife Wielder
10444,3598.0,Digimon Fusion
10445,,Perfect Day
10456,3839.0,Horizon in the Middle of Nowhere
10457,,JK to Inkou Kyoushi 4
10458,,Ran->Sem: Hakudaku Delmo Tsuma no Miira Tori
10463,10270.0,Exper Zenon
10471,2128.0,Ie Naki Ko Remy Specials
10483,3078.0,"Sengoku Basara Ni: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!"
10490,6195.0,Blood-C
10500,1641.0,Ojiisan no Lamp
10501,9133.0,Bannou Yasai Ninninman
10504,3644.0,Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru
10511,11545.0,Toyama Tourism Anime Project
10519,9658.0,Puella Magi Sonico Magica
10526,9340.0,Duel Masters Zero
10533,10801.0,Fujilog
10539,16250.0,Hato no Oyome-san
10547,6865.0,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?
10554,5763.0,Yakyuukyou no Uta
10562,8126.0,Machine Hayabusa
10568,1788.0,Heaven's Memo Pad
10575,,Naisho no Wakana-san
10581,9103.0,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space
10592,4617.0,s.CRY.ed Alteration I: Tao
10602,16254.0,Hayabusa: Back to the Earth - Kikan
10603,16251.0,Hayabusa: Back to the Earth
10604,5052.0,Aria the Scarlet Ammo Special
10611,6733.0,R-15
10620,1991.0,The Future Diary
10622,5001.0,Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!
10624,2360.0,Mardock Scramble: The Second Combustion
10628,3062.0,Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥
10633,19650.0,Shiodome Cable TV
10638,2550.0,Ground Control to Psychoelectric Girl Special
10643,496.0,Gintama: Dai Hanseikai
10653,19154.0,Running Boy: Star Soldier no Himitsu
10668,,Imouto Paradise!
10671,6355.0,Morita-san wa Mukuchi.
10674,11793.0,Pieces
10679,,Maria†Holic: Run Run Riru Ran Ran Rara
10684,19916.0,Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi
10687,7921.0,Saint Seiya: Legend of Sanctuary
10691,,Downloader
10701,10222.0,Ulysses 31 Pilot
