valid_id,rank,anime_name
30010,12138.0,Frame Arms: A Violent Struggle
30012,11466.0,Tekusuke Monogatari
30013,10748.0,Super Short Comics
30014,3725.0,momokuri
30018,10952.0,Norakuro Nitouhei
30025,18648.0,Otenki Boys
30034,15512.0,The Voyages of Doctor Dolittle
30036,12912.0,Tokai no Butchy
30042,11581.0,Geori-eui Mubeopja
30045,11939.0,Shin Saru Kani Gassen
30046,10449.0,Hadashi Neko
30054,13123.0,Uli Sai Jjang-Iya
30061,15959.0,Genki Bakuhatsu Ganbaruger: Hyakka
30073,,Onaka no Ookina Ouji-sama
30080,10503.0,Inishie no Megami to Houseki no Ite
30088,5290.0,RYOTEI-NO-AJI
30089,11799.0,Life of the Dead
30090,12265.0,Zombie Diary
30094,12436.0,Majin Sentai Death Ranger: Ubawareta Pudding!
30103,,Precure All Stars Movie: Haru no Carnival♪ - Ima Koko kara
30104,,SAY! Cho-oh Rap
30105,11699.0,The Art of 10^64 -Understanding Vastness-
30116,13892.0,Yancharu Moncha
30117,18158.0,Monpy
30118,15859.0,Futari wa Nakayoshi: Goo to Sue
30123,994.0,Snow White with the Red Hair
30131,13175.0,Uwabaki Cook
30138,19159.0,Rusuden Hour: Sodan Brothers
30148,17033.0,Kamiusagi Rope Specials
30149,17029.0,Kamiusagi Rope 2 Specials
30150,17030.0,Kamiusagi Rope 3
30155,9343.0,Hoshi no Kirby: Taose!! Koukaku Majuu Ebizou
30163,,Fuki to Hiyoko
30178,8629.0,Tiger & Bunny Recaps
30187,2014.0,Beautiful Bones -Sakurako's Investigation-
30191,1199.0,Durarara!! x2 Shou: My Heart Is in the Pattern of a Hot Pot
30193,10195.0,The Dearest
30196,7388.0,Tsubasa to Hotaru (2015)
30199,,Hakimono to Kasa no Monogatari
30200,,Piyo no Ongaeshi
30201,,Shiawase no Tokei
30208,,Shiritori Mambo
30214,12544.0,A Smart Experiment
30228,15084.0,Chel-in sacheon-wang
30230,242.0,Ace of Diamond: Second Season
30234,,1989
30241,,Umo
30262,,No Money Omake episodes
30263,9121.0,Hello Kitty in Snow White
30264,10085.0,Hello Kitty in Cinderella
30269,,Momoiro Milk
30290,4124.0,Fw:Hamatora
30298,8743.0,Mahou no Princess Minky Momo: Yume wo Dakishimete Specials
30307,4109.0,Monster Musume: Everyday Life with Monster Girls
30309,9814.0,Yuuyake Dandan
30311,1209.0,Kuroko no Basket 3rd Season NG-shuu
30313,16953.0,Kaiketsu Zorori Movie: Uchuu no Yuusha-tachi
30321,2850.0,Strike the Blood: Kingdom of the Valkyria
30324,10975.0,Dokuro the Ghost
30326,12431.0,Oxed-Man
30330,12008.0,Beautiful Planet
30336,11954.0,The Bird
30344,2343.0,THE IDOLM@STER CINDERELLA GIRLS 2nd SEASON
30358,10417.0,Turnover
30360,18850.0,Poppen-sensei to Kaerazu no Numa
30362,15937.0,Garon
30363,4792.0,The Testament of Sister New Devil: Burst
30364,551.0,Haikyuu!! the Movie: The Winner and the Loser
30370,453.0,Yona of the Dawn OVA
30381,5225.0,Sousei no Aquarion Evol
30390,8882.0,Sengoku Musou: Sengoku Musou High School
30392,10594.0,Tyo Story
30393,12273.0,Nose Tale
30400,12389.0,Promise
30410,9201.0,Gon 2nd Season
30417,18707.0,Panpaka Pants O-New!
30425,,Wake Up! Dodo
30433,,Eat You Up/Bunny
30435,17060.0,Kankou Taisen Saitama: Sakuya no Tatakai
30437,5750.0,Wakakozake
30442,11967.0,Kana Kana Kazoku x Himitsukessha Taka no Tsume Collaboration Film
30443,11989.0,Kana Kana Kazoku: Shinnen no Goaisatsu
30446,11456.0,Little Red Riding Hood and Health
30453,10076.0,Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack
30468,10143.0,My Melody in Little Red Riding Hood
30470,16345.0,Himitsukessha Taka no Tsume DO
30473,11441.0,"Sleep tight my baby, cradled in the sky"
30480,12509.0,Bara Bara Film
30489,11091.0,Minna Atsumare! Falcom Gakuen SC Special
30499,9573.0,Rolling☆Girls: Chibi☆Rolling☆Girls Korokoro Gekijou
30503,391.0,Noragami Aragoto
30512,16318.0,Hero Company
30514,4929.0,Nisekoimonogatari
30519,9774.0,Ba La La Xiao Mo Xian: Caihong Xin Shi
30524,7043.0,Kagewani
30530,15864.0,Fuusen Shoujo Temple-chan Movie
30531,7554.0,Gakuen Handsome The Animation
30543,,Rasen Sokou no Dystopia
30544,4768.0,The Asterisk War
30547,3108.0,Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special
30559,12263.0,Why
